track_id,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
5Z2MiIZ5I3jJvvmeWMLbOQ,272373,89,0.538,0.138,0.742,4.67e-05,0.0934,-5.355,0.114,96.107,4,1
3OHfY25tqY28d16oZczHc8,153946,92,0.644,0.0543,0.728,0.169,0.161,-5.75,0.0351,88.993,4,1
3EPXxR3ImUwfayaurPi3cm,196373,75,0.553,0.697,0.586,0.0,0.0813,-6.319,0.0362,126.684,4,1
63mdJr3NMY3wReOkNE6c6W,194900,75,0.695,0.0881,0.62,5.43e-05,0.111,-8.082,0.0521,150.032,4,1
0j1Ia2lQWrcXrQZI4AdJlk,184638,73,0.648,0.886,0.308,0.0774,0.124,-11.729,0.04,76.997,1,1
3hRV0jL3vUpRrcy398teAU,208211,79,0.544,0.969,0.369,0.279,0.639,-9.514,0.038,87.01,3,1
7DbdUf8aHSYoliSjO6LZv6,196784,84,0.572,0.013,0.839,0.00976,0.522,-5.083,0.0377,143.969,4,1
2QjOHCTQ1Jl3zawyYOpxh6,240400,88,0.612,0.0495,0.807,0.0177,0.101,-2.81,0.0336,124.053,4,1
4l0Mvzj72xxOpRrp6h8nHi,206458,77,0.488,0.556,0.343,0.0,0.21,-8.985,0.0436,102.819,4,1
2tGvwE8GcFKwNdAXMnlbfl,175933,80,0.395,0.765,0.443,9.67e-06,0.0839,-9.72,0.133,168.924,3,1
1cKHdTo9u0ZymJdPGSh6nq,241066,86,0.323,0.142,0.737,0.000162,0.163,-4.008,0.0338,113.26,4,1
0sY6ZUTh4yoctD8VIXz339,244000,74,0.462,0.92,0.24,0.0,0.113,-12.077,0.0377,171.319,4,1
3p4hRhMcb6ch8OLtATMaLw,256799,74,0.406,0.756,0.399,0.678,0.112,-10.449,0.0278,142.83,4,1
4IhKLu7Vk3j2TLmnFPl6To,218893,74,0.723,0.388,0.504,7.4e-05,0.087,-5.572,0.0392,133.975,4,1
1RMJOxR6GRPsBHL8qeC2ux,209831,77,0.524,0.808,0.364,0.0,0.1,-10.209,0.0367,75.24,4,1
0VjIjW4GlUZAMYd2vXMi3b,200040,87,0.514,0.00146,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,4,1
0jllH0usRFD4LJkJnGK9Lf,189000,66,0.657,0.694,0.355,0.000427,0.123,-12.044,0.0714,74.99,4,1
0qvzXomUDJVaUboy2wMfiS,232852,76,0.677,0.712,0.401,0.0,0.116,-8.467,0.0308,111.825,4,1
1SKPmfSYaPsETbRHaiA18G,237146,81,0.448,0.06,0.665,2.55e-05,0.0828,-4.203,0.026,172.004,4,1
26b3oVLrRUaaybJulow9kz,184791,85,0.573,0.551,0.422,1.31e-05,0.102,-7.621,0.0678,124.357,5,1
