endTime,artistName,trackName,msPlayed
2022-01-10 13:08,Joji,YEAH RIGHT,15146
2022-02-21 14:55,JP Cooper,Need You Tonight,134342
2022-02-21 18:25,Duncan Laurence,Arcade,78732
2022-02-24 08:45,Joji,SLOW DANCING IN THE DARK,75541
2022-02-24 08:47,Joji,SLOW DANCING IN THE DARK,133522
2022-02-24 08:50,Clairo,Bubble Gum,175769
2022-02-24 08:54,24kGoldn,CITY OF ANGELS,4289
2022-02-24 08:54,PUBLIC,Make You Mine,231449
2022-02-24 08:57,Kina,Get You The Moon (feat. Snøw),178842
2022-02-24 09:02,Curtis Waters,Stunnin' (feat. Harm Franklin),142746
2022-02-24 09:05,Tate McRae,One Day,202301
2022-02-24 09:08,Sofia Mills,Coffee Breath,163694
2022-02-24 09:10,Tai Verdes,Stuck In The Middle,5504
2022-02-24 09:10,Claire Rosinkranz,Backyard Boy,129225
2022-02-24 09:12,Paul Anka,Put Your Head On My Shoulder,154708
2022-02-24 09:18,JVKE,Upside Down,114431
2022-02-24 09:20,Noah Cyrus,July,156077
2022-02-24 09:24,Calum Scott,You Are The Reason,204248
2022-02-24 09:24,Kina,Can We Kiss Forever?,5504
2022-02-24 09:26,Alec Benjamin,Let Me Down Slowly,169322
2022-02-24 09:33,JP Saxe,If the World Was Ending (feat. Julia Michaels),208549
2022-02-24 09:36,Rex Orange County,Loving Is Easy (feat. Benny Sings),155541
2022-02-24 09:38,Joytastic Sarah,Fly Me to the Moon,5504
2022-02-24 09:38,Christian Leave,Can't Help Falling in Love,135687
2022-02-24 09:41,Olivia O'Brien,Complicated,188789
2022-02-24 09:47,Prateek Kuhad,Pause,169857
2022-02-24 10:29,Prateek Kuhad,with you/for you,128469
2022-02-24 10:32,The Weeknd,Blinding Lights,199972
2022-02-24 10:34,Camila Cabello,Havana (feat. Young Thug),85651
2022-02-24 10:35,Blai$y,Looking at Life,76263
2022-02-24 10:40,Sam Smith,Fire On Fire,239893
2022-02-24 10:45,Kacey Musgraves,Butterflies,218992
2022-02-24 10:48,Marshmello,FRIENDS,202513
2022-02-24 10:48,Hannah Montana,I'll Always Remember You,4311
2022-02-24 10:51,Johnny Orlando,See You,169945
2022-02-24 10:59,Taylor Swift,Blank Space,230442
2022-02-24 11:02,Cher Lloyd,None Of My Business,182789
2022-02-24 11:05,Conan Gray,Maniac,185585
2022-02-24 11:07,Whethan,High (& Dua Lipa),87378
2022-02-24 11:10,Ali Gatie,It's You,212444
2022-02-24 11:14,The Vamps,Just My Type,211251
2022-02-26 04:21,Natalie Taylor,Surrender,0
2022-02-26 04:24,JP Saxe,If the World Was Ending (feat. Julia Michaels),208687
2022-02-26 04:28,Taylor Swift,Love Story,235280
2022-02-26 04:31,Conan Gray,Maniac,185773
2022-02-26 04:35,Tommee Profitt,In The End - Mellen Gi Remix,218188
2022-02-26 04:36,Billie Eilish,you should see me in a crown,21495
2022-02-26 16:52,Ed Sheeran,Shape of You,0
2022-02-26 16:52,ZAYN,Entertainer,0
2022-02-26 16:59,Royal & the Serpent,overwhelmed,155920
2022-02-27 04:42,Vayu,Baatein Karo,57678
2022-02-28 11:37,Julia Michaels,Heaven,1967
2022-02-28 11:37,Royal & the Serpent,overwhelmed,3436
