,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
Bored___Billie Eilish,0.614,0.318,7,-12.695,1,0.0478,0.896,0.00239,0.0795,0.112,119.959,audio_features,04sN26COy28wTXYj3dMoiZ,spotify:track:04sN26COy28wTXYj3dMoiZ,https://api.spotify.com/v1/tracks/04sN26COy28wTXYj3dMoiZ,https://api.spotify.com/v1/audio-analysis/04sN26COy28wTXYj3dMoiZ,180933,4,Bored,4iyJ8i3eKbez8JXDbsHIdZ
Let Your Hair Down___MAGIC!,0.649,0.592,10,-6.924,1,0.0497,0.0934,0.000529,0.182,0.466,148.01,audio_features,0uQSHrFDVtbQyxNFCwm1EC,spotify:track:0uQSHrFDVtbQyxNFCwm1EC,https://api.spotify.com/v1/tracks/0uQSHrFDVtbQyxNFCwm1EC,https://api.spotify.com/v1/audio-analysis/0uQSHrFDVtbQyxNFCwm1EC,265693,4,Don't Kill the Magic,0RZ4Ct4vegYBmL9g88TBNi
Moral of the Story___Ashe,0.572,0.406,10,-8.624,1,0.0427,0.587,4.48e-06,0.102,0.265,119.812,audio_features,2nC3QhMI9reBIOWutbU3Tj,spotify:track:2nC3QhMI9reBIOWutbU3Tj,https://api.spotify.com/v1/tracks/2nC3QhMI9reBIOWutbU3Tj,https://api.spotify.com/v1/audio-analysis/2nC3QhMI9reBIOWutbU3Tj,201084,4,Moral of the Story,4yKwChgdGpJzf2nn3nPHfP
Love on the Weekend___Aria Ohlsson,0.564,0.436,1,-8.164,0,0.155,0.554,0,0.0969,0.28,82.652,audio_features,3Fu2kEs21COGTWc3QpJ88w,spotify:track:3Fu2kEs21COGTWc3QpJ88w,https://api.spotify.com/v1/tracks/3Fu2kEs21COGTWc3QpJ88w,https://api.spotify.com/v1/audio-analysis/3Fu2kEs21COGTWc3QpJ88w,153253,4,Love on the Weekend,62syHwYazKmp8ROJIBXJbt
Daylight___Joji,0.528,0.749,7,-7.571,1,0.0479,0.00488,9.6e-05,0.0949,0.729,163.944,audio_features,6Ed1q0X8oSKSm4IIhiQbYg,spotify:track:6Ed1q0X8oSKSm4IIhiQbYg,https://api.spotify.com/v1/tracks/6Ed1q0X8oSKSm4IIhiQbYg,https://api.spotify.com/v1/audio-analysis/6Ed1q0X8oSKSm4IIhiQbYg,163906,4,Daylight,1jcNHi5D96aaD0T5f1OjFY
Main Rahoon Ya Na Rahoon___Amaal Mallik,0.55,0.488,6,-8.059,1,0.0284,0.718,0.000118,0.126,0.301,136.025,audio_features,6f3ANRNQ8nCiPZ6VqXqq93,spotify:track:6f3ANRNQ8nCiPZ6VqXqq93,https://api.spotify.com/v1/tracks/6f3ANRNQ8nCiPZ6VqXqq93,https://api.spotify.com/v1/audio-analysis/6f3ANRNQ8nCiPZ6VqXqq93,309458,3,Main Rahoon Ya Na Rahoon,2hlpZpzFRp0SxM8Fk50dsp
Swim___Chase Atlantic,0.666,0.542,8,-6.429,1,0.0392,0.27,0,0.0765,0.0771,120.134,audio_features,3M0lSi5WW79CXQamgSBIjx,spotify:track:3M0lSi5WW79CXQamgSBIjx,https://api.spotify.com/v1/tracks/3M0lSi5WW79CXQamgSBIjx,https://api.spotify.com/v1/audio-analysis/3M0lSi5WW79CXQamgSBIjx,228787,4,Chase Atlantic,7C8uqokvE67UOlu1TiEYMd
Love Me Harder___Ariana Grande,0.472,0.714,1,-4.389,0,0.0334,0.00937,0,0.0764,0.24,98.992,audio_features,5J4ZkQpzMUFojo1CtAZYpn,spotify:track:5J4ZkQpzMUFojo1CtAZYpn,https://api.spotify.com/v1/tracks/5J4ZkQpzMUFojo1CtAZYpn,https://api.spotify.com/v1/audio-analysis/5J4ZkQpzMUFojo1CtAZYpn,236133,4,My Everything (Deluxe),6EVYTRG1drKdO8OnIQBeEj
Lost___Dj NoFace,0.596,0.798,0,-4.63,1,0.0285,0.00412,0,0.338,0.459,105.01,audio_features,373gDROnujxNTFa1FojYIl,spotify:track:373gDROnujxNTFa1FojYIl,https://api.spotify.com/v1/tracks/373gDROnujxNTFa1FojYIl,https://api.spotify.com/v1/audio-analysis/373gDROnujxNTFa1FojYIl,199342,4,Lost,7bN4OM5mtWq0UrAxdN6qMC
Goodbyes (feat. Young Thug)___Post Malone,0.548,0.653,5,-3.875,1,0.081,0.456,0,0.103,0.163,150.068,audio_features,0t3ZvGKlmYmVsDzBJAXK8C,spotify:track:0t3ZvGKlmYmVsDzBJAXK8C,https://api.spotify.com/v1/tracks/0t3ZvGKlmYmVsDzBJAXK8C,https://api.spotify.com/v1/audio-analysis/0t3ZvGKlmYmVsDzBJAXK8C,174853,4,Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi
