,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
0,YEAH RIGHT___Joji,2022-01-10 13:08,Joji,YEAH RIGHT,15146,2022-01-10 13:08:00,0.672,0.588,1,-9.573,1,0.133,0.619,0.241,0.0992,0.204,169.033,audio_features,1VGzxJnVQND7Cg5H5wGj14,spotify:track:1VGzxJnVQND7Cg5H5wGj14,https://api.spotify.com/v1/tracks/1VGzxJnVQND7Cg5H5wGj14,https://api.spotify.com/v1/audio-analysis/1VGzxJnVQND7Cg5H5wGj14,174358,4,BALLADS 1,34GQP3dILpyCN018y2k61L
1,Need You Tonight___JP Cooper,2022-02-21 14:55,JP Cooper,Need You Tonight,134342,2022-02-21 14:55:00,0.521,0.682,2,-2.707,1,0.0487,0.439,0.0,0.149,0.287,143.834,audio_features,4HLuopIC1sQIgTAcDwkkqR,spotify:track:4HLuopIC1sQIgTAcDwkkqR,https://api.spotify.com/v1/tracks/4HLuopIC1sQIgTAcDwkkqR,https://api.spotify.com/v1/audio-analysis/4HLuopIC1sQIgTAcDwkkqR,198301,4,Need You Tonight,2vVY1FESWAdXJLyF7vd7w8
2,Arcade___Duncan Laurence,2022-02-21 18:25,Duncan Laurence,Arcade,78732,2022-02-21 18:25:00,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,audio_features,1Xi84slp6FryDSCbzq4UCD,spotify:track:1Xi84slp6FryDSCbzq4UCD,https://api.spotify.com/v1/tracks/1Xi84slp6FryDSCbzq4UCD,https://api.spotify.com/v1/audio-analysis/1Xi84slp6FryDSCbzq4UCD,183624,3,Arcade,7BISGeB7QwhqRIadxuLHfG
3,SLOW DANCING IN THE DARK___Joji,2022-02-24 08:45,Joji,SLOW DANCING IN THE DARK,75541,2022-02-24 08:45:00,0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964,audio_features,0rKtyWc8bvkriBthvHKY8d,spotify:track:0rKtyWc8bvkriBthvHKY8d,https://api.spotify.com/v1/tracks/0rKtyWc8bvkriBthvHKY8d,https://api.spotify.com/v1/audio-analysis/0rKtyWc8bvkriBthvHKY8d,209274,4,BALLADS 1,34GQP3dILpyCN018y2k61L
4,SLOW DANCING IN THE DARK___Joji,2022-02-24 08:47,Joji,SLOW DANCING IN THE DARK,133522,2022-02-24 08:47:00,0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964,audio_features,0rKtyWc8bvkriBthvHKY8d,spotify:track:0rKtyWc8bvkriBthvHKY8d,https://api.spotify.com/v1/tracks/0rKtyWc8bvkriBthvHKY8d,https://api.spotify.com/v1/audio-analysis/0rKtyWc8bvkriBthvHKY8d,209274,4,BALLADS 1,34GQP3dILpyCN018y2k61L
5,Bubble Gum___Clairo,2022-02-24 08:50,Clairo,Bubble Gum,175769,2022-02-24 08:50:00,0.509,0.0167,9,-24.639,1,0.115,0.979,2.72e-05,0.387,0.229,207.97,audio_features,3zksbXteOCeSusJ5Xltr3t,spotify:track:3zksbXteOCeSusJ5Xltr3t,https://api.spotify.com/v1/tracks/3zksbXteOCeSusJ5Xltr3t,https://api.spotify.com/v1/audio-analysis/3zksbXteOCeSusJ5Xltr3t,175961,3,Bubble Gum,4IlnBRDEsHcr9EWxmbgMC2
6,CITY OF ANGELS___24kGoldn,2022-02-24 08:54,24kGoldn,CITY OF ANGELS,4289,2022-02-24 08:54:00,0.686,0.541,0,-4.993,0,0.0493,0.042,0.0,0.0675,0.724,120.082,audio_features,6ap9lSRJ0iLriGLqoJ44cq,spotify:track:6ap9lSRJ0iLriGLqoJ44cq,https://api.spotify.com/v1/tracks/6ap9lSRJ0iLriGLqoJ44cq,https://api.spotify.com/v1/audio-analysis/6ap9lSRJ0iLriGLqoJ44cq,112493,4,DROPPED OUTTA COLLEGE,2eLpj5EDUhyAoTks8sxcKR
7,Make You Mine___PUBLIC,2022-02-24 08:54,PUBLIC,Make You Mine,231449,2022-02-24 08:54:00,0.606,0.799,9,-4.452,1,0.0261,0.0128,0.0,0.15,0.638,103.014,audio_features,5iFwAOB2TFkPJk8sMlxP8g,spotify:track:5iFwAOB2TFkPJk8sMlxP8g,https://api.spotify.com/v1/tracks/5iFwAOB2TFkPJk8sMlxP8g,https://api.spotify.com/v1/audio-analysis/5iFwAOB2TFkPJk8sMlxP8g,232907,4,Make You Mine,2CxrZinzjDXZidyx5EP214
8,Get You The Moon (feat. Snøw)___Kina,2022-02-24 08:57,Kina,Get You The Moon (feat. Snøw),178842,2022-02-24 08:57:00,0.498,0.235,1,-16.541,0,0.188,0.72,0.0,0.144,0.0895,118.917,audio_features,4ZLzoOkj0MPWrTLvooIuaa,spotify:track:4ZLzoOkj0MPWrTLvooIuaa,https://api.spotify.com/v1/tracks/4ZLzoOkj0MPWrTLvooIuaa,https://api.spotify.com/v1/audio-analysis/4ZLzoOkj0MPWrTLvooIuaa,179080,4,Get You The Moon (feat. Snøw),5LZSpPoBVBsh6kRSEKfPQ8
9,Stunnin' (feat. Harm Franklin)___Curtis Waters,2022-02-24 09:02,Curtis Waters,Stunnin' (feat. Harm Franklin),142746,2022-02-24 09:02:00,0.885,0.685,11,-6.429,0,0.0627,0.33,0.0,0.148,0.937,99.954,audio_features,2D0dj3hVkRQJCp63cxCPEx,spotify:track:2D0dj3hVkRQJCp63cxCPEx,https://api.spotify.com/v1/tracks/2D0dj3hVkRQJCp63cxCPEx,https://api.spotify.com/v1/audio-analysis/2D0dj3hVkRQJCp63cxCPEx,144000,4,Stunnin' (feat. Harm Franklin),0ZC4lUnfcEFekGFELwHjZZ
10,One Day___Tate McRae,2022-02-24 09:05,Tate McRae,One Day,202301,2022-02-24 09:05:00,0.436,0.153,0,-9.522,1,0.0454,0.911,0.0,0.129,0.415,71.684,audio_features,4Ey0LK1HzksUqm9JLzzKuD,spotify:track:4Ey0LK1HzksUqm9JLzzKuD,https://api.spotify.com/v1/tracks/4Ey0LK1HzksUqm9JLzzKuD,https://api.spotify.com/v1/audio-analysis/4Ey0LK1HzksUqm9JLzzKuD,202340,4,One Day,5dcblm6CNsl9cCiQ6CsKjr
11,Coffee Breath___Sofia Mills,2022-02-24 09:08,Sofia Mills,Coffee Breath,163694,2022-02-24 09:08:00,0.866,0.211,11,-12.676,0,0.0404,0.974,0.0,0.0987,0.198,101.295,audio_features,28TkNtKHx6UnOZuoyv3Jzv,spotify:track:28TkNtKHx6UnOZuoyv3Jzv,https://api.spotify.com/v1/tracks/28TkNtKHx6UnOZuoyv3Jzv,https://api.spotify.com/v1/audio-analysis/28TkNtKHx6UnOZuoyv3Jzv,163902,4,Coffee Breath,6PLQWrmCo4IDIbfaIP2hAE
12,Stuck In The Middle___Tai Verdes,2022-02-24 09:10,Tai Verdes,Stuck In The Middle,5504,2022-02-24 09:10:00,0.862,0.564,2,-6.566,1,0.0425,0.278,0.0,0.0935,0.836,119.952,audio_features,44TzvSZLIkM7Y7MEnrvkIl,spotify:track:44TzvSZLIkM7Y7MEnrvkIl,https://api.spotify.com/v1/tracks/44TzvSZLIkM7Y7MEnrvkIl,https://api.spotify.com/v1/audio-analysis/44TzvSZLIkM7Y7MEnrvkIl,196133,4,TV,6E8lxwX7KMAO9nCx4A5tAR
13,Backyard Boy___Claire Rosinkranz,2022-02-24 09:10,Claire Rosinkranz,Backyard Boy,129225,2022-02-24 09:10:00,0.817,0.634,5,-7.246,1,0.162,0.321,0.0,0.0735,0.453,138.015,audio_features,0QpOqKz66ZxHNqj2PPHiFF,spotify:track:0QpOqKz66ZxHNqj2PPHiFF,https://api.spotify.com/v1/tracks/0QpOqKz66ZxHNqj2PPHiFF,https://api.spotify.com/v1/audio-analysis/0QpOqKz66ZxHNqj2PPHiFF,129241,4,BeVerly Hills BoYfRiEnd,47MpwVFLbn15zhYD3mIx5y
14,Put Your Head On My Shoulder___Paul Anka,2022-02-24 09:12,Paul Anka,Put Your Head On My Shoulder,154708,2022-02-24 09:12:00,0.547,0.335,4,-9.2,0,0.0307,0.747,0.0,0.101,0.474,115.838,audio_features,2DpJ9T2RVRanZcYFHKOAfA,spotify:track:2DpJ9T2RVRanZcYFHKOAfA,https://api.spotify.com/v1/tracks/2DpJ9T2RVRanZcYFHKOAfA,https://api.spotify.com/v1/audio-analysis/2DpJ9T2RVRanZcYFHKOAfA,154733,3,Put Your Head On My Shoulder: The Very Best Of Paul Anka,75zBkbUSaFzpyPa1mBDjON
15,Upside Down___JVKE,2022-02-24 09:18,JVKE,Upside Down,114431,2022-02-24 09:18:00,0.88,0.504,2,-6.76,1,0.0609,0.0532,0.0715,0.443,0.476,120.043,audio_features,0vLUcf0D21qANv4C2ES7Ay,spotify:track:0vLUcf0D21qANv4C2ES7Ay,https://api.spotify.com/v1/tracks/0vLUcf0D21qANv4C2ES7Ay,https://api.spotify.com/v1/audio-analysis/0vLUcf0D21qANv4C2ES7Ay,114500,4,Upside Down,4LYXgoQB99z3QfjOhWNAYD
16,July___Noah Cyrus,2022-02-24 09:20,Noah Cyrus,July,156077,2022-02-24 09:20:00,0.708,0.186,9,-8.953,0,0.042,0.868,0.0,0.0779,0.322,72.541,audio_features,6J2LdBN97cDWn0MLxYh9HB,spotify:track:6J2LdBN97cDWn0MLxYh9HB,https://api.spotify.com/v1/tracks/6J2LdBN97cDWn0MLxYh9HB,https://api.spotify.com/v1/audio-analysis/6J2LdBN97cDWn0MLxYh9HB,156106,4,THE END OF EVERYTHING,5Gn3fFzlWL89j0hGumtXb5
17,Can We Kiss Forever?___Kina,2022-02-24 09:24,Kina,Can We Kiss Forever?,5504,2022-02-24 09:24:00,0.522,0.128,4,-18.717,1,0.0357,0.894,0.026,0.0941,0.124,109.986,audio_features,58wyJLv6yH1La9NIZPl3ne,spotify:track:58wyJLv6yH1La9NIZPl3ne,https://api.spotify.com/v1/tracks/58wyJLv6yH1La9NIZPl3ne,https://api.spotify.com/v1/audio-analysis/58wyJLv6yH1La9NIZPl3ne,187932,4,Can We Kiss Forever?,0MGcjBIFcL2qaCrgGjIGFb
18,Let Me Down Slowly___Alec Benjamin,2022-02-24 09:26,Alec Benjamin,Let Me Down Slowly,169322,2022-02-24 09:26:00,0.652,0.557,1,-5.714,0,0.0318,0.74,0.0,0.124,0.483,150.073,audio_features,2qxmye6gAegTMjLKEBoR3d,spotify:track:2qxmye6gAegTMjLKEBoR3d,https://api.spotify.com/v1/tracks/2qxmye6gAegTMjLKEBoR3d,https://api.spotify.com/v1/audio-analysis/2qxmye6gAegTMjLKEBoR3d,169354,4,Narrated For You,6jKZplJpy21R5lHaYHHjmZ
